UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
04Q,Tradewind Aviation,10010,1B1,11728,FOK,479,9
04Q,Tradewind Aviation,10154,ACK,10257,ALB,479,9
04Q,Tradewind Aviation,10154,ACK,10504,BBX,479,9
04Q,Tradewind Aviation,10154,ACK,10529,BDL,479,9
04Q,Tradewind Aviation,10154,ACK,10535,BDR,479,9
04Q,Tradewind Aviation,10154,ACK,10540,BED,479,9
04Q,Tradewind Aviation,10154,ACK,10647,BKL,479,9
04Q,Tradewind Aviation,10154,ACK,10693,BNA,646,9
04Q,Tradewind Aviation,10154,ACK,10721,BOS,479,9
04Q,Tradewind Aviation,10154,ACK,10785,BTV,479,9
04Q,Tradewind Aviation,10154,ACK,10927,CDW,479,9
04Q,Tradewind Aviation,10154,ACK,11057,CLT,479,9
04Q,Tradewind Aviation,10154,ACK,11456,DXR,479,9
04Q,Tradewind Aviation,10154,ACK,11618,EWR,479,9
04Q,Tradewind Aviation,10154,ACK,11728,FOK,479,9
04Q,Tradewind Aviation,10154,ACK,11842,GAI,479,9
04Q,Tradewind Aviation,10154,ACK,12197,HPN,479,9
04Q,Tradewind Aviation,10154,ACK,12197,HPN,479,9
04Q,Tradewind Aviation,10154,ACK,12222,HTO,479,9
04Q,Tradewind Aviation,10154,ACK,12244,HVN,479,9
04Q,Tradewind Aviation,10154,ACK,12250,HYA,479,9
04Q,Tradewind Aviation,10154,ACK,12478,JFK,479,9
04Q,Tradewind Aviation,10154,ACK,12932,LEB,479,9
04Q,Tradewind Aviation,10154,ACK,13398,MMU,479,9
04Q,Tradewind Aviation,10154,ACK,13535,MVL,479,9
04Q,Tradewind Aviation,10154,ACK,13685,NJ1,479,9
04Q,Tradewind Aviation,10154,ACK,13731,NPT,479,9
04Q,Tradewind Aviation,10154,ACK,14321,PWM,479,9
04Q,Tradewind Aviation,10154,ACK,14524,RIC,479,9
04Q,Tradewind Aviation,10154,ACK,15167,TEB,479,9
04Q,Tradewind Aviation,10154,ACK,15376,TUS,479,9
04Q,Tradewind Aviation,10198,AGC,13541,MVY,479,9
04Q,Tradewind Aviation,10257,ALB,10154,ACK,479,9
04Q,Tradewind Aviation,10257,ALB,12222,HTO,479,9
04Q,Tradewind Aviation,10309,ANP,12197,HPN,479,9
04Q,Tradewind Aviation,10431,AVL,10721,BOS,646,9
04Q,Tradewind Aviation,10471,B19,16441,CT1,479,9
04Q,Tradewind Aviation,10504,BBX,10154,ACK,479,9
04Q,Tradewind Aviation,10504,BBX,10927,CDW,479,9
04Q,Tradewind Aviation,10504,BBX,12244,HVN,479,9
04Q,Tradewind Aviation,10504,BBX,12348,INT,479,9
04Q,Tradewind Aviation,10504,BBX,16568,NJ4,479,9
04Q,Tradewind Aviation,10529,BDL,12388,ISM,646,9
04Q,Tradewind Aviation,10529,BDL,14321,PWM,479,9
04Q,Tradewind Aviation,10529,BDL,15167,TEB,479,9
04Q,Tradewind Aviation,10535,BDR,10154,ACK,479,9
04Q,Tradewind Aviation,10535,BDR,11106,CON,479,9
04Q,Tradewind Aviation,10535,BDR,13541,MVY,479,9
04Q,Tradewind Aviation,10540,BED,10154,ACK,479,9
04Q,Tradewind Aviation,10540,BED,10504,BBX,479,9
04Q,Tradewind Aviation,10540,BED,11618,EWR,479,9
04Q,Tradewind Aviation,10540,BED,11728,FOK,479,9
04Q,Tradewind Aviation,10540,BED,12197,HPN,479,9
04Q,Tradewind Aviation,10540,BED,12222,HTO,479,9
04Q,Tradewind Aviation,10540,BED,12391,ISP,479,9
04Q,Tradewind Aviation,10540,BED,13541,MVY,479,9
04Q,Tradewind Aviation,10540,BED,14044,PCT,479,9
04Q,Tradewind Aviation,10540,BED,14100,PHL,479,9
04Q,Tradewind Aviation,10540,BED,15167,TEB,479,9
04Q,Tradewind Aviation,10540,BED,15356,TTN,479,9
04Q,Tradewind Aviation,10557,BFD,14100,PHL,479,9
04Q,Tradewind Aviation,10577,BGM,16543,MA5,479,9
